"Grapes - Red,""1Cu9haD51wbztZCpbVKuqj9UfDENC95fLe"",""$5.55"",""1"","""","""""
"Cheese - Marble,""12a5tVdaJzjyW6KZ8M1HG1ezT7gM4Sc5zn"",""$6.24"",""2"","""","""""
"Beef Tenderloin Aaa,""1DoLiuFKvxBWxg4XahLLd8df78xcbpACDS"",""$5.10"",""3"","""","""""
"Tamarind Paste,""1LJieH4wHqrwqC84VRQoJgqEARPATErwcf"",""$2.36"",""4"","""","""""
"Rhubarb,""1PUKz18SDzxCACPUS5J5HcGWm6PQNBCn3C"",""$2.46"",""5"","""","""""
"Chives - Fresh,""1BYNU4DdDHSJ7S4VfVxAnFF816vnUaeYkM"",""$0.37"",""6"","""","""""
"Lid - 16 Oz And 32 Oz,""1ERuZHAUdWcRwcdNY5W6qTvGR4p7sidUDU"",""$4.25"",""7"","""","""""
"Oyster - In Shell,""12qV9bky1uDhVn1woLdFVGFkZAdK93R1bK"",""$0.89"",""8"","""","""""
"Chicken Giblets,""1Ec9GFg37cxtnHcSQJYBqkLztvDseZng8c"",""$0.83"",""9"","""","""""
"Pepper - Red Chili,""13TydqhDzm9DVjodCk53wbhUZUBDP1xuN9"",""$1.18"",""10"","""","""""
"Iced Tea - Lemon, 460 Ml,""1FKPwNTy8GMxu75KYFz2Lyw361XkirVUni"",""$2.16"",""11"","""","""""
"Soup Bowl Clear 8oz92008,""1FEvs1jEiwijcSot5avy37tPKyrmsPkCzD"",""$4.52"",""12"","""","""""
"Oregano - Fresh,""1MtNQZ1zWDDrudY7hGVKXs5Q44MvjUXoUb"",""$7.74"",""13"","""","""""
"Cheese - Parmesan Grated,""19HQzgkDTSRZZfuheqCz2TPs78MSAUhFDm"",""$7.11"",""14"","""","""""
"Lamb Shoulder Boneless Nz,""1s9MB5VqKm4n4uup97H99GNR5sSQ9aedE"",""$9.83"",""15"","""","""""
"Pate Pans Yellow,""16beAAKKhmBfmMm5wT3iYGuePRPMvHq5Za"",""$8.00"",""16"","""","""""
"Basil - Pesto Sauce,""165yH2hecNJn3vHoEQHYYaBWx5aw8b2zLJ"",""$9.28"",""17"","""","""""
"Soup - Beef Conomme, Dry,""16u3gkUQKbivPgU79vgMH9cnPfEbEcKxXg"",""$9.05"",""18"","""","""""
"Carrots - Jumbo,""1Awr9p5uFqz8yk5J6CskTGfR939AqZ4JyJ"",""$3.57"",""19"","""","""""
"Sprouts - Corn,""1Fdp87EvE93wQsC6x282auPjmzh5VTrbzH"",""$6.78"",""20"","""","""""
"Nut - Peanut, Roasted,""14wJ581yLrx3LEga8DJ6RTUZ7Bm9Zb2YSz"",""$9.28"",""21"","""","""""
"Rabbit - Frozen,""1EcLTCofKkH7eban7UULvW4hWcpmkc9MUg"",""$6.53"",""22"","""","""""
"Fudge - Cream Fudge,""1QEA1HqRGYG9YaWvZBRF74P1GhWY1diFF1"",""$2.10"",""23"","""","""""
"Cheese - Grie Des Champ,""1NZanPuHoc9teraNx2MJdym46iwUrDbSvH"",""$1.57"",""24"","""","""""
"Shrimp - Black Tiger 13/15,""14pntukiyDZRcGjcXBmGvtbnHb82SJcwCJ"",""$3.43"",""25"","""","""""
"Bread - Malt,""155TmhBffWFxog8kZL3twizW3M75NMnvjJ"",""$8.39"",""26"","""","""""
"Pork - European Side Bacon,""14tEjgrH6gDXtYoKn7WuX5HWYzd4JWZSAY"",""$0.72"",""27"","""","""""
"Pepper - Chilli Seeds Mild,""1Eps2aDNJGsAwLwAfuf87EpZuyMNL4Rura"",""$5.83"",""28"","""","""""
"Barley - Pearl,""1WXnjPhygngVKCgmLuajNCWMhPrTBxDTg"",""$0.78"",""29"","""","""""
"Kohlrabi,""1A3iYons1bYwbSBh34rR1Y1v4SyMzjx3Pc"",""$6.98"",""30"","""","""""
"Bagels Poppyseed,""1EDaUs8zP9c8bqitKXzGA33oNnAz789rvj"",""$9.86"",""31"","""","""""
"Rye Special Old,""196FXGu6HTPcpDi1sJydmZGwfxJAUpgeRj"",""$8.65"",""32"","""","""""
"Five Alive Citrus,""1KLLtbtFWJckfSaEQYVz5xEhJBjmFuQb5d"",""$6.54"",""33"","""","""""
"Truffle Shells - Semi - Sweet,""1Lohtrjb3CAHVDddRnRpFz82oL7VJqY2bJ"",""$5.46"",""34"","""","""""
"Water - Spring 1.5lit,""1DwtvrPifBPGqp1YgYwhpGkbrV6GyKHxwv"",""$9.44"",""35"","""","""""
"Wine - Magnotta - Red, Baco,""16TJPLNeCoyJ8bmtta5LmTtVUFAVfUXwZu"",""$3.61"",""36"","""","""""
"Anchovy Paste - 56 G Tube,""17LLCJ5JN8hGuqs7bMHVJde8knnkvq75Ye"",""$4.75"",""37"","""","""""
"Napkin - Cocktail,beige 2 - Ply,""18mMnbK7GgyxtWfirFJNQnuj7JoG26LVCZ"",""$6.31"",""38"","""","""""
"Jameson - Irish Whiskey,""1Ec9piGr14FmdQciVk2Uu545hJZ6aXU1js"",""$1.33"",""39"","""","""""
"Hipnotiq Liquor,""1HoKyHpZNMmGgK2kxU8fDedrvpyPDi2n6Q"",""$6.63"",""40"","""","""""
"Asparagus - Green, Fresh,""1NyM8HA2CewtkkrVonYwDx5t5P5ySmxWFK"",""$9.09"",""41"","""","""""
"Wine - Prosecco Valdobienne,""1HSaTHTkXamBhv2754dvwkFhiJbkFEcCrd"",""$2.58"",""42"","""","""""
"Pork - Back Ribs,""18LKEFfFy6XsBi7kCpE58aaPA7B9a77tyk"",""$4.23"",""43"","""","""""
"Muffin Mix - Raisin Bran,""15EE3RfUMRXbzFn3tYDeeK1p59HA8nwZ19"",""$7.23"",""44"","""","""""
"Bagelers - Cinn / Brown Sugar,""1FTJ1CyHLLxuZkFT7KgUZAvdEDfMNtoVFe"",""$0.39"",""45"","""","""""
"Carbonated Water - Peach,""16WDkUPpJuWQRbpeb43E6jELr9eeDLb2Za"",""$9.84"",""46"","""","""""
"Pepper - Chillies, Crushed,""189uPQwUnvf4Rhp33NQNohewEDxqcTfLDo"",""$5.70"",""47"","""","""""
"Lamb - Leg, Diced,""18g3tmhM3iKtYjYzHtYRtmz4cu83WbYzZR"",""$7.09"",""48"","""","""""
"Marzipan 50/50,""1Bu1XzcUQd6CeKyBpSDQ98tTU7mspSgw25"",""$4.74"",""49"","""","""""
"Nestea - Iced Tea,""1C7ryBJTCz43CsTLTfaAbwQaFdgZxFbmpK"",""$7.25"",""50"","""","""""
"Ice Cream Bar - Hageen Daz To,""1J9ywd1co7qEhy3sPR2FSnrPBWDomKanbc"",""$1.88"",""51"","""","""""
"Creme De Cacao Mcguines,""1D4j5xdPpGGL5Pz35V6fUFE74Q1MWfsHyE"",""$4.37"",""52"","""","""""
"Amaretto,""14R987GBz9xRNroGNcKbBoLcUWmbA7ReWq"",""$3.45"",""53"","""","""""
"Nestea - Iced Tea,""14P33r2J7Fm9VUbYyTmqDaecKZr2JTuDtL"",""$3.01"",""54"","""","""""
"Extract - Rum,""1MPYqKoXZLmfgkHKKABsaSiQRj5DsbaPaN"",""$2.91"",""55"","""","""""
"Carbonated Water - Orange,""1F7MdTf2SpZG2LvgHzKoXtyRSh8uSiHPKu"",""$7.50"",""56"","""","""""
"Calaloo,""1DYJwi3gzGSTrb8YoabxeasE6ix6R8vaMb"",""$3.07"",""57"","""","""""
"Beer - Sleemans Cream Ale,""1JqmJZQZQAAE34DiZavCY6KeJzmqNhFLvr"",""$3.51"",""58"","""","""""
"Trueblue - Blueberry Cranberry,""1NtLEoN2PMc7MmPw9r9uvpTTmmS82N2H7m"",""$6.77"",""59"","""","""""
"Cup - Paper 10oz 92959,""16DwoDsM4cPJppGGdN7X9iaKr6UzCvSxB4"",""$8.10"",""60"","""","""""
"Beef - Bresaola,""1C4MxwtrEewi61Z4fQuFeFwS1DFbpH1mnj"",""$8.89"",""61"","""","""""
"Sobe - Berry Energy,""1CN1jCx9hDHGhDxA2a9GFwhdWSaDoRGPJ7"",""$2.74"",""62"","""","""""
"Wine - Cotes Du Rhone Parallele,""1HKNfxVDLdurJdVRBhzrMAFWvJNwYuMi9J"",""$6.48"",""63"","""","""""
"Veal - Sweetbread,""1Mt2VCag2VKTxW77VcWQJe4rTvC5N8CGfX"",""$5.23"",""64"","""","""""
"Lobster - Tail, 3 - 4 Oz,""1M535y8wrXrkd34GjGaxaPVksDM6FrrRUE"",""$3.43"",""65"","""","""""
"Glass Clear 7 Oz Xl,""1PTHedvbHRB2YU3yqUDHM76jLcqbm5htuF"",""$3.84"",""66"","""","""""
"Maintenance Removal Charge,""1H4FwFcfMuPgkwkWbW1PSNirbTRWXFaRm6"",""$2.02"",""67"","""","""""
"Melon - Watermelon Yellow,""19mV5tk8Z27EBXwCXAcBujR1XW94dHMgdV"",""$9.99"",""68"","""","""""
"Limes,""1P7E6XiZXG8NS1tH3B1ZK8JiYijxWfJSSN"",""$2.45"",""69"","""","""""
"Soup - Campbells Chili Veg,""1CVPX4YKe7Vz6hmWLsxAAWzLg9jkZP9wRK"",""$6.27"",""70"","""","""""
"Squeeze Bottle,""1NZNtKD5MWkhwX2VZLFAPFR3e2fcULFwR1"",""$5.92"",""71"","""","""""
"Grapes - Black,""166LpAJfUG8K2SYezJ1wJRxh1TNrEp2aVk"",""$1.11"",""72"","""","""""
"Pasta - Cannelloni, Sheets, Fresh,""1MR7PUg1SYwjyzbDJA7obw7Q4CU6fjV1jk"",""$5.95"",""73"","""","""""
"Red Pepper Paste,""1H6h49j5ybEmSisc5cQw75r25A7tVhK53s"",""$8.35"",""74"","""","""""
"Sauce - Mint,""1HdycGwGU9Gk2kK4n7BA6U8byjuUYHdjyB"",""$3.55"",""75"","""","""""
"Soup - Campbells, Creamy,""1MYPNE2xKKH9pzJ98EFEuvqy8tGSbg8Upi"",""$1.87"",""76"","""","""""
"Wine - Remy Pannier Rose,""1E42PWfnSX9qkbWmRUQ7QMesp2UNATr4oi"",""$6.80"",""77"","""","""""
"Wine - Red, Cabernet Merlot,""1LBo3Lp2F21zBe2pCJreq6m8DMwMCaM5vT"",""$5.78"",""78"","""","""""
"Aromat Spice / Seasoning,""1FVuY8h9wnDwY3WVMHAhowyv3JGbJgguX7"",""$9.69"",""79"","""","""""
